chromophore,solvent,absorption,emission,q_yield,mwt,s_shift,charge
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,507.6696165,599.7802198,,752.83944,92.11060330000004,0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,618.0,0.62,752.83944,110.0,0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,633.0,0.67,752.83944,126.0,0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.3687316,663.0769231,,752.83944,137.7081915,0
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0,0.55,529.45446,74.0,0
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,455.0,0.7,711.24792,112.0,0
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,419.0,0.76,711.24792,76.0,0
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0,0.57,846.95658,43.0,0
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,683.0,0.02,284.40592,19.0,1
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,672.0,0.15,284.40592,17.0,1
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,680.0,0.09,284.40592,25.0,1
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,682.0,0.03,284.40592,20.0,1
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0,0.38,300.36004,105.0,0
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,491.0,0.1,412.4948,53.0,0
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357.0,494.0,0.02,314.34316,137.0,0
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,501.0,0.13,314.34316,129.0,0
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0,0.38,364.40304,120.0,0
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362.0,485.0,0.44,396.46904,123.0,0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436.0,500.0,0.91,338.36516,64.0,0
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,533.0,615.0,0.07,444.4928,82.0,0
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,597.0,0.1,612.81536,109.0,0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,509.0,0.35,486.52968,72.0,0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427.0,465.0,0.61,338.36516,38.0,0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,435.0,483.0,0.69,338.36516,48.0,0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,490.0,0.93,338.36516,53.0,0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432.0,485.0,0.83,338.36516,53.0,0
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,497.0,594.0,0.04,444.4928,97.0,0
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,517.0,606.0,0.08,444.4928,89.0,0
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,527.0,611.0,0.1,444.4928,84.0,0
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,480.0,555.0,0.06,612.81536,75.0,0
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,500.0,587.0,0.12,612.81536,87.0,0
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,497.0,583.0,0.07,612.81536,86.0,0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,432.0,486.0,0.59,486.52968,54.0,0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,437.0,491.0,0.52,486.52968,54.0,0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,439.0,497.0,0.48,486.52968,58.0,0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,C1CCOC1,436.0,497.0,0.36,486.52968,61.0,0
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,445.0,460.0,0.56,588.70432,15.0,0
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451.0,461.0,0.72,588.70432,10.0,0
O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClC(Cl)Cl,414.0,517.0,,280.32604,103.0,0
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClC(Cl)Cl,394.0,504.0,,282.29816,110.0,0
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,O,362.0,500.0,,636.50068,138.0,-5
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,349.0,482.0,,644.56744,133.0,-5
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,O,353.0,487.0,,288.25828,134.0,-2
O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,506.0,532.0,,721.41292,26.0,-4
CCN1CCCc2cc3c(cc21)Oc1cc2c(cc1=N3)C(CS(=O)(=O)[O-])CC(C)(C)[N+]=2CCCC(=O)[O-],O,655.0,690.0,,526.63208,35.0,-1
CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,O,500.0,530.0,,265.35886,30.0,0
Nc1ccc2c(-c3ccc(C(=O)CN4C(=O)CCC4=O)cc3C(=O)[O-])c3ccc(=[NH2+])c(S(=O)(=O)[O-])c-3oc2c1S(=O)(=O)[O-],O,494.0,519.0,,627.56198,25.0,-2
CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)ON3C(=O)CCC3=O)n1[B-]2(F)F,CO,502.0,510.0,,389.16492,8.0,0
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CCO,460.0,505.0,,350.44092,45.0,0
CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCO)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,O,558.0,572.0,,659.8453,14.0,0
CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,548.0,562.0,0.04,615.7459,14.0,-1
O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12,O,493.0,520.0,,461.33146,27.0,-2
NC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,O,350.0,450.0,,631.43038,100.0,-2
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,O,275.0,350.0,,477.4215,75.0,0
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,CCO,280.0,375.0,,230.30916,95.0,0
c1ccc2[nH]ccc2c1,O,290.0,360.0,,117.15058,70.0,0
Nc1ncc2nc[nH]c2n1,O,290.0,380.0,,135.1297,90.0,0
N[C@@H](Cc1ccc(O)cc1)C(=O)O,O,285.0,300.0,,181.19034,15.0,0
Nc1ccccc1C(=O)O,O,290.0,400.0,,137.13758,110.0,0
c1ccc2cc3ccccc3cc2c1,C1CCCCC1,355.0,400.0,,178.2334,45.0,0
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,,,0.31,442.5572,,0
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,O,454.0,511.0,,455.41958,57.0,-3
NNC(=O)N1C(=O)c2cc(S(=O)(=O)[O-])cc3c(N)c(S(=O)(=O)[O-])cc(c23)C1=O,O,458.0,535.0,,428.35752,77.0,-2
O=S(=O)([O-])c1cc(S(=O)(=O)Cl)ccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,589.0,615.0,,625.16426,26.0,0
N#Cc1cc2ccccc2[nH]1,O,,350.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,O,,320.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,O,305.0,405.0,,142.16064,100.0,0
N#Cc1ccc2[nH]ccc2c1,O,275.0,390.0,,142.16064,115.0,0
N#Cc1ccc2cc[nH]c2c1,O,285.0,375.0,,142.16064,90.0,0
N#Cc1cccc2cc[nH]c12,O,308.0,400.0,,142.16064,92.0,0
N#Cc1cc2ccccc2[nH]1,C1CCOC1,,328.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,C1CCOC1,,314.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,C1CCOC1,,371.0,,142.16064,,0
N#Cc1ccc2[nH]ccc2c1,C1CCOC1,,349.0,,142.16064,,0
N#Cc1ccc2cc[nH]c2c1,C1CCOC1,,345.0,,142.16064,,0
N#Cc1cccc2cc[nH]c12,C1CCOC1,,368.0,,142.16064,,0
N#Cc1cc2ccccc2[nH]1,C1COCCO1,281.595092,329.0,,142.16064,47.40490799999998,0
N#Cc1c[nH]c2ccccc12,C1COCCO1,277.3006135,305.0,,142.16064,27.699386500000003,0
N#Cc1cccc2[nH]ccc12,C1COCCO1,304.2944785,369.0,,142.16064,64.70552149999997,0
N#Cc1ccc2[nH]ccc2c1,C1COCCO1,274.8466258,348.0,,142.16064,73.15337419999997,0
N#Cc1ccc2cc[nH]c2c1,C1COCCO1,284.3558282,342.0,,142.16064,57.64417179999998,0
N#Cc1cccc2cc[nH]c12,C1COCCO1,307.3619632,367.0,,142.16064,59.63803680000001,0
N#Cc1cc2ccccc2[nH]1,CC#N,279.6875,330.0,,142.16064,50.3125,0
N#Cc1c[nH]c2ccccc12,CC#N,276.25,313.0,,142.16064,36.75,0
N#Cc1cccc2[nH]ccc12,CC#N,302.8125,380.0,,142.16064,77.1875,0
N#Cc1ccc2[nH]ccc2c1,CC#N,275.0,362.0,,142.16064,87.0,0
N#Cc1ccc2cc[nH]c2c1,CC#N,285.0,354.0,,142.16064,69.0,0
N#Cc1cccc2cc[nH]c12,CC#N,309.6875,378.0,,142.16064,68.3125,0
N#Cc1cc2ccccc2[nH]1,CC(C)O,,332.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,CC(C)O,,315.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,CC(C)O,,385.0,,142.16064,,0
N#Cc1ccc2[nH]ccc2c1,CC(C)O,,362.0,,142.16064,,0
N#Cc1ccc2cc[nH]c2c1,CC(C)O,,356.0,,142.16064,,0
N#Cc1cccc2cc[nH]c12,CC(C)O,,380.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,CCO,,314.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,CCO,,387.0,,142.16064,,0
N#Cc1ccc2[nH]ccc2c1,CCO,,364.0,,142.16064,,0
N#Cc1ccc2cc[nH]c2c1,CCO,,358.0,,142.16064,,0
N#Cc1cccc2cc[nH]c12,CCO,,382.0,,142.16064,,0
N#Cc1cc2ccccc2[nH]1,CO,,335.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,CO,,314.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,CO,,390.0,,142.16064,,0
N#Cc1ccc2[nH]ccc2c1,CO,,367.0,,142.16064,,0
N#Cc1ccc2cc[nH]c2c1,CO,,367.0,,142.16064,,0
N#Cc1cccc2cc[nH]c12,CO,,387.0,,142.16064,,0
N#Cc1cc2ccccc2[nH]1,OCC(F)(F)F,,339.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,OCC(F)(F)F,,314.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,OCC(F)(F)F,,394.0,,142.16064,,0
N#Cc1ccc2[nH]ccc2c1,OCC(F)(F)F,,374.0,,142.16064,,0
N#Cc1ccc2cc[nH]c2c1,OCC(F)(F)F,,364.0,,142.16064,,0
N#Cc1cccc2cc[nH]c12,OCC(F)(F)F,,391.0,,142.16064,,0
N#Cc1cc2ccccc2[nH]1,CS(C)=O,,335.0,,142.16064,,0
N#Cc1c[nH]c2ccccc12,CS(C)=O,,316.0,,142.16064,,0
N#Cc1cccc2[nH]ccc12,CS(C)=O,,392.0,,142.16064,,0
N#Cc1ccc2[nH]ccc2c1,CS(C)=O,,371.0,,142.16064,,0
N#Cc1ccc2cc[nH]c2c1,CS(C)=O,,363.0,,142.16064,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,C1CCCCC1,,,0.49,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClC(Cl)(Cl)Cl,,,0.71,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCOCCCC,,,0.72,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCC#N,,,0.77,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CN(C)C=O,,,0.73,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC1COC(=O)O1,,,0.72,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCCCCCCO,,,0.64,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC(C)O,,,0.61,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCO,,,0.6,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCO,,,0.59,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCO,,,0.58,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCCO,,,0.39,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(O)CO,,,0.34,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(F)(F)F,,,0.24,318.37492,,0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OC(C(F)(F)F)C(F)(F)F,,,0.09,318.37492,,0
O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,,,0.0078,212.27152,,0
O=c1c2ccccc2sc2ccccc12,c1ccccc1,380.0,,0.012,212.27152,,0
O=c1c2ccccc2sc2ccccc12,C1COCCO1,,,0.015,212.27152,,0
O=c1c2ccccc2sc2ccccc12,CC(C)=O,,,0.024,212.27152,,0
O=c1c2ccccc2sc2ccccc12,CC#N,,,0.066,212.27152,,0
O=c1c2ccccc2sc2ccccc12,CC(C)O,377.0,,0.14,212.27152,,0
O=c1c2ccccc2sc2ccccc12,CO,378.0,,0.25,212.27152,,0
O=c1c2ccccc2sc2ccccc12,OCCO,382.0,,0.41,212.27152,,0
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC#N,401.0,,0.0041,298.36116,,0
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC(C)O,,,0.054,298.36116,,0
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CCO,,,0.082,298.36116,,0
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CO,402.0,,0.12,298.36116,,0
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,OCCO,,,0.23,298.36116,,0
